PEN | CANDIDATO | SANLAI ARAUJO | 20580904000140,604,0.00000000000000000000
PV | CANDIDATO | DILTO VITORASSI | 20571647000180,32580,0.00000000000000000000
PV | CANDIDATO | ADRIANA FERREIRA | 20573384000149,2458,0.00000000000000000000
PSB | CANDIDATO | BRUNO GARCIA DUTRA | 20568848000129,4025,0.00000000000000000000
PDT | CANDIDATO | GELCINES RODECZ | 20573350000154,437,0.00000000000000000000
PRB | CANDIDATO | ALEXANDRE PANZARINI FILHO | 20574626000119,549,0.00000000000000000000
PTC | CANDIDATO | CLAUDENIR RIBEIRO | 20581220000163,1461,0.00000000000000000000
PC do B | CANDIDATO | CLAUDIO AUGUSTO PADILHA | 20574805000156,470,0.00000000000000000000
PSC | CANDIDATO | ROBERTA DE OLIVEIRA SOUZA DOS SANTOS | 20568171000129,444,0.00000000000000000000
PSOL | CANDIDATO | SOLANGE BARBOSA DE AMORIM DELAMURA | 20559139000187,167,0.00000000000000000000
PTC | CANDIDATO | CESAR BISPO SILVA | 20581168000145,308,0.00000000000000000000
PSB | CANDIDATO | JOÃO BOSCO DOS SANTOS | 20574012000137,2744,0.00000000000000000000
PRTB | CANDIDATO | EDMILSON GONÇALVES DE OLIVEIRA | 20572844000114,830,0.00000000000000000000
PDT | CANDIDATO | DAVI SCHEIFER | 20572091000147,476,0.00000000000000000000
PHS | CANDIDATO | FABIO ALEXANDRE PEREIRA | 20576121000193,341,0.00000000000000000000
PSB | CANDIDATO | ELIZABETH SILVEIRA SCHMIDT | 20574301000136,11488,0.00000000000000000000
PEN | CANDIDATO | ZELIA SIQUEIRA SZCZOTKA | 20581305000141,320,0.00000000000000000000
PSB | CANDIDATO | REGIANE MICHAKI | 20797108000164,103,0.00000000000000000000
PSB | CANDIDATO | RAFAEL CRISTIANO BRUGNEROTTO | 20573562000131,5179,0.00000000000000000000
PV | CANDIDATO | VERA LUCIA CORACINI ZANELLO | 20570879000114,216,0.00000000000000000000
PDT | CANDIDATO | DIOMAR FRANCISCO DA SILVA | 20571000000159,200,0.00000000000000000000
PSB | CANDIDATO | DIVAL CERANTO | 20574283000192,1841,0.00000000000000000000
PV | CANDIDATO | CRISTIANO PEREIRA DOS SANTOS | 20568842000151,35293,0.00000000000000000000
PTN | CANDIDATO | ORELIO FONTANA NETO | 20572164000109,504,0.00000000000000000000
PMDB | CANDIDATO | CESARIO RICARDO MARCONCIN | 20569066000104,886,0.00000000000000000000
PSOL | CANDIDATO | THIAGO DE SOUSA BAGATIN | 20559082000116,5366,0.00000000000000000000
PTC | CANDIDATO | JOSE APARECIDO DA SILVA | 20582015000112,2492,0.00000000000000000000
PRB | CANDIDATO | VILMAR BORGES | 20574809000134,2047,0.00000000000000000000
PT | CANDIDATO | IGLE MARIA DOS SANTOS | 20569168000120,4910,0.00000000000000000000
PSB | CANDIDATO | CARMEN CHAVES SOARES | 20572560000128,155,0.00000000000000000000
PV | CANDIDATO | LUIZ GONZAGA CAETANO MONEZI | 20568976000172,349,0.00000000000000000000
PDT | CANDIDATO | DINARTE RODRIGUES DA SILVA | 20572401000123,609,0.00000000000000000000
PV | CANDIDATO | DAVI MORAES DA LUZ | 20569340000145,301,0.00000000000000000000
PTB | CANDIDATO | LUIZ PAIOLA | 20576304000109,15824,0.00000000000000000000
PSB | CANDIDATO | EDSON STIPP | 20574736000180,3454,0.00000000000000000000
PV | CANDIDATO | CARLOS LEONARDO DE ALBUQUERQUE NOVAES | 20572607000153,322,0.00000000000000000000
PV | CANDIDATO | EUGENIO COVALCHUK PRIMO | 20571406000131,1438,0.00000000000000000000
PCB | CANDIDATO | SILVANA APARECIDA DE SOUZA | 20572656000196,2030,0.00000000000000000000
PSB | CANDIDATO | RUTH DE SOUZA | 20574424000177,221,0.00000000000000000000
PSDB | CANDIDATO | PAULO ROSENMANN | 20569228000104,4590,0.00000000000000000000
PDT | CANDIDATO | GISELE DA SILVA COSTA | 20569855000145,826,0.00000000000000000000
PSDC | CANDIDATO | EMERSON GILBERTO PALHARES | 20578037000109,894,0.00000000000000000000
PTC | CANDIDATO | EDMILSON CARVALHO VIRIATO | 20581964000188,0,0.00000000000000000000
PTB | CANDIDATO | JANDERSON FLAVIO MANTOVANI | 20576035000180,12262,0.00000000000000000000
PSB | CANDIDATO | JOÃO CARLOS DA COSTA | 20574270000113,1882,0.00000000000000000000
SD | CANDIDATO | JOSÉ APARECIDO GOTARDO | 20572678000156,5806,0.00000000000000000000
PSB | CANDIDATO | KATHYA MENNA BARRETO MADRUGA | 20572405000101,61,0.00000000000000000000
PC do B | CANDIDATO | CELIA REGINA PIONTKIEVICZ RODRIGUES DA SILVA | 20577973000103,602,0.00000000000000000000
PPL | CANDIDATO | MARIO JOSE DE RAUEN BACELLAR FILHO | 20570888000105,57,0.00000000000000000000
PV | CANDIDATO | EMERSON FELIX VELOSO | 20573090000117,260,0.00000000000000000000
