PSB | CANDIDATO | WILSON LUIZ DARIENZO QUINTEIRO | 20573194000121,41195,0.00000023227204099148
PTB | CANDIDATO | CARLOS ROBERTO FRISOLI | 20576768000115,9756,0.00000023204038678167
PSDB | CANDIDATO | MARILEI DE SOUZA LIMA | 20572342000193,43549,0.00000022888954671896
PTB | CANDIDATO | SEBASTIÃO HENRIQUE DE MEDEIROS | 20576163000124,31875,0.00000021792497770581
PDT | CANDIDATO | MAICON GUEDES HUGO | 20577012000190,993,0.00000021565288441452
PSB | CANDIDATO | JOSÉ DOMINGOS SCARPELINI | 20570673000194,19222,0.00000021487906099599
PSB | CANDIDATO | JOSÉ CARLOS CAMARGO | 20574566000134,9546,0.00000021486663906792
PSC | CANDIDATO | GILSON DE SOUZA | 20566614000142,34470,0.00000021480665480470
PSDC | CANDIDATO | AGENOR DA SILVA PEREIRA | 20577025000160,7746,0.00000020893014771733
PPS | CANDIDATO | RUBENS BUENO | 20565467000196,95841,0.00000020661762127790
SD | CANDIDATO | LUIS FELIPE BONATTO FRANCISCHINI | 20574098000106,35842,0.00000020520942216242
PSB | CANDIDATO | MARIA CIRLEIDE DA SILVA | 20574245000130,578,0.00000020015557084321
PPS | CANDIDATO | SILVIO APARECIDO LINDES | 20572704000146,4892,0.00000019963050235626
PSDB | CANDIDATO | VALDIR LUIZ ROSSONI | 20570744000159,177324,0.00000019962711248628
PSB | CANDIDATO | BRUNO GARCIA DUTRA | 20568848000129,4025,0.00000019938712655758
PSB | CANDIDATO | FABIO HENRIQUE DA SILVA | 20632242000105,4901,0.00000019937982848441
PHS | CANDIDATO | KELLY SUSEL MENEGARI OLIVEIRA SANTOS | 20569466000110,1006,0.00000019886917544329
PSD | CANDIDATO | REINHOLD STEPHANES | 20563795000153,78064,0.00000019796284652859
PSDB | CANDIDATO | EDUARDO FRANCISCO COSTA DE OLIVEIRA | 20572086000134,12511,0.00000019559012794622
DEM | CANDIDATO | OSMAR STUART BERTOLDI | 20572846000103,81789,0.00000019322975209832
PSDB | CANDIDATO | PAULO HENRIQUE COLETTI FERNANDES | 20569792000127,60918,0.00000019230972654290
PSC | CANDIDATO | RICARDO ARRUDA NUNES | 20564263000130,23592,0.00000019087523968255
PSB | CANDIDATO | ADALBERTO MARCOS DE ARAUJO | 20797286000195,5508,0.00000019087044363271
PSB | CANDIDATO | PAULO ENÉAS BORGES BUENO NETTO | 20570861000112,529,0.00000018522428000059
PTB | CANDIDATO | MAURO BERTOLI | 20576671000102,6846,0.00000018379828591367
PSD | CANDIDATO | EMILIANO AUGUSTO ROCHA GOMES | 20578322000120,15013,0.00000018203732194636
PMN | CANDIDATO | GEORGE LUIZ DE OLIVEIRA | 20572849000147,11694,0.00000018050835114917
PSB | CANDIDATO | THIAGO DA SILVA DE JESUS | 20569613000151,3179,0.00000017775240163716
PSD | CANDIDATO | JOEL MELO CORDEIRO | 20577872000124,6088,0.00000017346564902022
DEM | CANDIDATO | ELIO LINO RUSCH | 20570726000177,54993,0.00000016664948304808
PSB | CANDIDATO | ALFREDO RICARDO PARODI NETO | 20574593000107,426,0.00000016546270729251
PSB | CANDIDATO | ARLETE MARLI LAGNER | 20574529000126,510,0.00000016546270728882
PSDB | CANDIDATO | BERNARDO GUIMARAES RIBAS CARLI | 20569670000130,55481,0.00000016279738989343
PSC | CANDIDATO | HUSSEIN BAKRI | 20567237000166,26682,0.00000016027257638239
PSC | CANDIDATO | CLAUDIA VANESSA DE SOUZA FONTOURA PEREIRA | 20564036000105,29379,0.00000015781712774674
PSDC | CANDIDATO | LUIZ ADÃO MARQUES | 20580679000142,14870,0.00000015769923229422
PSB | CANDIDATO | RUTH DE SOUZA | 20574424000177,221,0.00000015746397547759
PSB | CANDIDATO | CARMEN CHAVES SOARES | 20572560000128,155,0.00000015746397547325
PSL | CANDIDATO | ADELINO RIBEIRO SILVA | 20577733000109,42924,0.00000015609716366255
PTB | CANDIDATO | ALEX CANZIANI SILVEIRA | 20576507000103,187475,0.00000015561732094604
SD | CANDIDATO | FERNANDO DESTITO FRANCISCHINI | 20614399000108,159569,0.00000015558607461543
PSC | CANDIDATO | JONATAS FELISBERTO DA SILVA | 20567454000156,20544,0.00000015558192093305
PSD | CANDIDATO | EDONY ANTONIO KLUBER | 20571399000178,10215,0.00000015558192092806
PSB | CANDIDATO | NILTON CAMARGO COSTA | 20569754000174,1819,0.00000015134729820961
PSB | CANDIDATO | GUILHERME DE MAGALHÃES SPANGUEMBERG | 20569140000192,4617,0.00000014828966973107
PSDC | CANDIDATO | FERNANDO JOSÉ RODRIGUES DE OLIVEIRA | 20577775000131,5917,0.00000014802540206083
PR | CANDIDATO | HEMERSON YUKIO YOKOTA | 20609029000182,18214,0.00000014757846383655
PSB | CANDIDATO | EUNICE DIAS DE OLIVEIRA | 20573394000184,375,0.00000014711267548508
PSD | CANDIDATO | JOAO EDUARDO PASQUINI | 20574583000171,24908,0.00000014517622155341
PSC | CANDIDATO | ELCIO JAIME DA LUZ | 20568381000117,17968,0.00000014364129900107
PSB | CANDIDATO | MARINETE LINO SANTANA | 20574715000165,3723,0.00000014287805276013
PPS | CANDIDATO | ARMANDO DIADOSK | 20571926000144,696,0.00000014115409079692
SD | CANDIDATO | JOSÉ APARECIDO GOTARDO | 20572678000156,5806,0.00000013914780459118
PR | CANDIDATO | HILTON SANTIN ROVEDA | 20569286000138,19725,0.00000013911394366843
PSD | CANDIDATO | MARI LUCIA STOCO ULSON | 20574400000118,9524,0.00000013911394366670
PSDB | CANDIDATO | JOSÉ FRANCISCO BUHRER | 20571486000125,50757,0.00000013898761759383
PSC | CANDIDATO | OSMAR LOPES FERREIRA | 20565223000103,7131,0.00000013799151213486
PP | CANDIDATO | GESSANI DA SILVA | 20573323000181,16938,0.00000013731877640706
PSC | CANDIDATO | EVANDRO JOSE DA CRUZ ARAUJO | 20570327000106,23233,0.00000013713514825618
PSB | CANDIDATO | SÉRGIO FANUCCHI | 20574361000159,2170,0.00000013550792716741
PPS | CANDIDATO | ALDAIR TARCISIO RIZZI | 20570515000134,5010,0.00000013077622838462
PSB | CANDIDATO | NELSON DA ROCHA | 20570360000136,1289,0.00000013017418458894
PSB | CANDIDATO | MILTON ANTONIO OLIVEIRA DIGIACOMO | 20572481000117,655,0.00000013017418458612
PPS | CANDIDATO | TERCILIO LUIZ TURINI | 20570721000144,47023,0.00000012993935222770
PSB | CANDIDATO | JOÃO CARLOS DA COSTA | 20574270000113,1882,0.00000012894531016897
DEM | CANDIDATO | PEDRO PIZZATTO | 20569549000109,9076,0.00000012881398149533
DEM | CANDIDATO | SERGIO LUIS BELICH | 20573042000129,6510,0.00000012832708522377
PPS | CANDIDATO | DIOGO NASCIMENTO BUSSE | 20569446000149,13810,0.00000012818201628600
PPS | CANDIDATO | NELSON LOPES DE FREITAS | 20571479000123,1335,0.00000012789564813502
PSDC | CANDIDATO | ADÃO MATOZO | 20580941000159,543,0.00000012711584595169
PSD | CANDIDATO | LUIZ CARLOS MARTINS GONÇALVES | 20577313000114,40368,0.00000012503257054643
DEM | CANDIDATO | PAULO CEZAR DE CRISTO | 20605137000187,1291,0.00000012501025614068
PSD | CANDIDATO | RICARDO APARECIDO MAIA KOTSIFAS | 20566585000119,6922,0.00000012500692768251
PSB | CANDIDATO | DIVAL CERANTO | 20574283000192,1841,0.00000012170493914054
PSB | CANDIDATO | EDSON STIPP | 20574736000180,3454,0.00000012170493913881
PTB | CANDIDATO | VANDER PIAIA | 20576510000119,4574,0.00000011965516463677
PSB | CANDIDATO | VALDIR CARLOS FERNANDES | 20797300000150,1589,0.00000011953087016188
PSDB | CANDIDATO | JOÃO GALDINO DE SOUZA | 20569529000138,14574,0.00000011919566034885
PSDB | CANDIDATO | OMAR SABBAG FILHO | 20571096000155,7963,0.00000011914397202530
PSB | CANDIDATO | ODAIR DO PRADO | 20797233000174,2072,0.00000011888185732622
PSL | CANDIDATO | ISRAEL DIAS BORBOREMA | 20660928000100,385,0.00000011720112564869
PSB | CANDIDATO | CONCEIÇÃO APARECIDA MENDES | 20570160000183,185,0.00000011652928914516
PSDC | CANDIDATO | NELSON SILVA DE LIZ | 20622904000166,531,0.00000011596285528180
PSC | CANDIDATO | LUIZ AUGUSTO SILVA | 20614126000163,45313,0.00000011474334553167
PSDC | CANDIDATO | PAULO DA ROSA | 20576921000104,233,0.00000011466135001106
PSDC | CANDIDATO | EDELVIRA GOIS RAMOS | 20622992000104,63,0.00000011466135001019
PSDC | CANDIDATO | JURANDI PEREIRA | 20580849000199,386,0.00000011466135001019
PSDC | CANDIDATO | AMADEU ALVES DE OLIVEIRA FILHO | 20576524000132,674,0.00000011466135000672
PPS | CANDIDATO | MARCOS SOLANO VALE | 20566445000140,2272,0.00000011229466642323
PEN | CANDIDATO | JOÃO JOSE DOS SANTOS | 20581768000103,1344,0.00000010523696188439
PEN | CANDIDATO | LEVI PEREIRA DA SILVA | 20579622000123,1972,0.00000010523696188113
PSB | CANDIDATO | MOACY DE OLIVEIRA MONTEIRO | 20574665000116,116,0.00000010335490733746
PSD | CANDIDATO | NEY LEPREVOST NETO | 20578031000131,71470,0.00000010213465029274
PTB | CANDIDATO | LUIZ PAIOLA | 20576304000109,15824,0.00000010147285279313
PSDC | CANDIDATO | APARECIDO HERNANDEZ DEL MAZO | 20622972000125,276,0.00000010053182552053
PSDC | CANDIDATO | MIGUEL SANTOS DE PAULA | 20580463000187,135,0.00000009868403125918
PSDC | CANDIDATO | LOURIVAL BATISTA | 20577887000192,555,0.00000009865682868565
PSDC | CANDIDATO | JOSIEL DE SOUZA LIMA | 20576085000168,180,0.00000009865682868196
PSDC | CANDIDATO | MARILEIDE APARECIDA MARTINS NOVAK | 20580203000101,0,0.00000009865682868131
PSDC | CANDIDATO | ENEAS DOS SANTOS ARAÚJO | 20576028000189,173,0.00000009865682868131
