PDT | CANDIDATO | PRISCILA RITA ROCHA BANASZEWSKI | 20574054000178,313,0.00000000000000000000
PPS | CANDIDATO | VALDIR PIETROBON | 20565267000133,17498,0.00000000000000000000
PSOL | CANDIDATO | CHRISTIANE ELIZABETH RIGHETTO | 20559486000100,1377,0.00000000000000000000
PC do B | CANDIDATO | CELIA REGINA PIONTKIEVICZ RODRIGUES DA SILVA | 20577973000103,602,0.00000000000000000000
PP | CANDIDATO | GESSANI DA SILVA | 20573323000181,16938,0.00000000000000000000
PV | CANDIDATO | ALAERTE LEANDRO MARTINS | 20572166000190,2085,0.00000000000000000000
PHS | CANDIDATO | WAGNER MILANEZI | 20570132000166,3221,0.00000000000000000000
PP | CANDIDATO | ANTONIO CARLOS SALLES BELINATI | 20573491000177,28542,0.00000000000000000000
PEN | CANDIDATO | WILSON MARCELINO FILHO | 20581759000112,86,0.00000000000000000000
SD | CANDIDATO | INACIO BUDZIAK | 20577700000150,3156,0.00000000000000000000
PPS | CANDIDATO | JOSE ADAO MONTEIRO | 20571760000166,480,0.00000000000000000000
PSL | CANDIDATO | ZILTON MAXIMO DA SILVA | 20571768000122,250,0.00000000000000000000
PSDC | CANDIDATO | JOSIEL DE SOUZA LIMA | 20576085000168,180,0.00000000000000000000
PSC | CANDIDATO | LINDAMAR DA SILVA QUEIROZ | 20571996000100,1,0.00000000000000000000
PSDC | CANDIDATO | MARCIA CLAUDINO DOS SANTOS | 20580293000130,84,0.00000000000000000000
PSDC | CANDIDATO | APARECIDO HERNANDEZ DEL MAZO | 20622972000125,276,0.00000000000000000000
PMDB | CANDIDATO | LUIZ EDUARDO CHEIDA | 20573220000111,28225,0.00000000000000000000
PSL | CANDIDATO | YEDA MARIA JOSE DE PAULA | 20569301000148,29,0.00000000000000000000
PTN | CANDIDATO | GERALDINO BATISTA DO NASCIMENTO | 20604108000109,1541,0.00000000000000000000
PC do B | CANDIDATO | WAGNER SABINO | 20576363000187,566,0.00000000000000000000
PMDB | CANDIDATO | VERA LUCIA BARTZ | 20572645000106,693,0.00000000000000000000
PSDC | CANDIDATO | CENIRA TRINDADE DOS SANTOS | 20622966000178,248,0.00000000000000000000
PSDC | CANDIDATO | ALBINO SURECK | 20577613000101,606,0.00000000000000000000
PSDC | CANDIDATO | PAULO DA ROSA | 20576921000104,233,0.00000000000000000000
PDT | CANDIDATO | PAULO ROBERTO COSTA DOS SANTOS | 20574236000149,224,0.00000000000000000000
PPS | CANDIDATO | FELIPE DITTRICH FERREIRA | 20569543000131,668,0.00000000000000000000
PMN | CANDIDATO | JANINE DE ALMEIDA VIEIRA | 20573676000181,425,0.00000000000000000000
PSTU | CANDIDATO | RODRIGO TOMAZINI DIAS | 20576434000141,5726,0.00000000000000000000
PTN | CANDIDATO | MARINHO CANDIDO | 20604123000149,156,0.00000000000000000000
PT | CANDIDATO | IGLE MARIA DOS SANTOS | 20569168000120,4910,0.00000000000000000000
PSB | CANDIDATO | EDSON STIPP | 20574736000180,3454,0.00000000000000000000
PDT | CANDIDATO | EDSON WILLIANS | 20576712000160,377,0.00000000000000000000
PTN | CANDIDATO | LUIZ CAMARA RAMOS | 20576692000128,94,0.00000000000000000000
PHS | CANDIDATO | PRISCILLA SCHNEIDER FRANCO | 20569435000169,1182,0.00000000000000000000
PV | CANDIDATO | MOISES DE CAMARGO | 20571700000143,696,0.00000000000000000000
PV | CANDIDATO | CARLOS LEONARDO DE ALBUQUERQUE NOVAES | 20572607000153,322,0.00000000000000000000
SD | CANDIDATO | ROSELI LIMA DA COSTA | 20578151000139,48,0.00000000000000000000
PSD | CANDIDATO | RUBENS JORDANI BELEZE | 20574519000190,353,0.00000000000000000000
